id	kind	prose_len	bytes	lines	max_run	hazard_classes	origin	note
s10	synthetic	152	172	1	60	PATH-EXT,PATH-SLASH,PATH-HYPHEN-EXT,LEN-UNDER	hand-authored	multi-segment relative paths, one spoken "slash" per separator
s11	synthetic	127	144	1	48	PATH-EXT,PATH-SLASH,PATH-ABS,LEN-UNDER	hand-authored	absolute paths with a leading /, spoken inconsistently by misaki
s12	synthetic	168	189	1	64	PATH-SLASH,PATH-TILDE,PROSE-LIVES,LEN-UNDER	hand-authored	~/ paths spoken as "tilde slash"; also carries the espeak "lives" defect
s13	synthetic	126	145	1	31	PATH-EXT,PATH-SLASH,PATH-DOTDIR,PROSE-LIVES,LEN-UNDER	hand-authored	leading bare-dot directories such as .claude/settings.json
s14	synthetic	137	159	1	35	ID-SNAKE,ID-VOWELLESS,PATH-EXT,PATH-SLASH,PATH-LINEREF,PATH-DBLCOLON,LEN-UNDER	hand-authored	file:line references and a :: test id, both landing as pause phonemes
s15	synthetic	176	203	1	60	MD-UNDERSCORE,ID-SCREAM,LEN-UNDER	hand-authored	SCREAMING_SNAKE_CASE env vars, misaki's worst measured case
s16	synthetic	138	162	1	50	ID-SCREAM,ID-SNAKE,ID-ASSIGN,NUM-STATUS,LEN-UNDER	hand-authored	control: NAME=0 assignment form, measured identical in both frontends
s17	synthetic	122	144	1	44	ID-SNAKE,ID-CAMEL,ID-KEBAB,LEN-UNDER	hand-authored	snake_case, camelCase, kebab-case and getUserById word-boundary handling
s18	synthetic	112	141	1	41	ID-ACRONYM,LEN-UNDER	hand-authored	all-caps acronyms, spelled out by misaki and said as words by espeak
s19	synthetic	126	159	1	62	ID-VOWELLESS,LEN-UNDER	hand-authored	vowel-less short commands that espeak spells letter by letter
s20	synthetic	129	153	1	67	ID-SHA,LEN-UNDER	hand-authored	git short hashes read as a mix of digits and letter names
s21	synthetic	98	122	1	36	NUM-4DIGIT,LEN-UNDER	hand-authored	bare 4-digit non-year numbers, which misaki reads with the year rule
s22	synthetic	100	122	1	31	NUM-THOUSANDS,NUM-UNIT,LEN-UNDER	hand-authored	thousands separators, where espeak drops the word "thousand"
s23	synthetic	124	149	1	31	NUM-VERSION,LEN-UNDER	hand-authored	version strings, where espeak plants a full stop between components
s24	synthetic	121	151	1	39	NUM-DECIMAL,NUM-UNIT,LEN-UNDER	hand-authored	decimals with a multiplier and unit suffixes, where espeak loses "point"
s25	synthetic	114	139	1	44	ID-ACRONYM,NUM-PERCENT,NUM-CURRENCY,NUM-ORDINAL,NUM-STATUS,LEN-UNDER	hand-authored	controls: percentages, currency, ordinals and a 3-digit HTTP status
s26	synthetic	205	229	1	86	PATH-EXT,PATH-SLASH,URL,LEN-OVER	hand-authored	URLs, the noisiest single class, read out character-class by character-class
s27	synthetic	196	225	1	148	EMOJI,GLYPH,LEN-UNDER	hand-authored	emoji read by full Unicode name, plus the plugin's own box-drawing divider
s28	synthetic	110	137	1	43	FLAG-SHORT,FLAG-LONG,LEN-UNDER	hand-authored	short flags, where misaki injects a literal ) before a single letter, and long flags as the control
s29	synthetic	126	155	1	51	NUM-TIME,NUM-HYPHEN,SYM,LEN-UNDER	hand-authored	clock times, SHA-256 style hyphen-numbers, and the & @ + symbols
s30	synthetic	220	269	1	59	PROSE-LIVES,LEN-OVER	hand-authored	prose control with no code tokens at all; also the espeak "lives" defect
s31	synthetic	146	166	1	86	MD-UNDERSCORE,ID-SCREAM,OVERRIDE,LEN-UNDER	hand-authored	the [text](/phonemes/) inline override, the only hook that survives an HTTP transport
s32	synthetic	199	240	1	73	LEN-UNDER	hand-authored	length probe: prose_len 199, one under the CLAUDISH_MIN_CHARS default of 200
s33	synthetic	201	244	1	72	LEN-OVER	hand-authored	length probe: prose_len 201, one over the CLAUDISH_MIN_CHARS default of 200
s34	synthetic	1077	1313	1	104	CHUNK-510-PUNCT	hand-authored	1313 bytes needing several batches, but no run between . , ! ? ; exceeds 104 chars, so _split_phonemes splits it cleanly
s35	synthetic	1048	1281	1	1280	CHUNK-510-NOPUNCT	hand-authored	single line of 1281 bytes with no . , ! ? ; anywhere: one 1280-char run, which raises IndexError on kokoro-onnx
s36	synthetic	367	443	7	64	NUM-UNIT,SPLIT-NEWLINE	hand-authored	contrast to s34 and s37: 7 short lines that each END IN A FULL STOP, so the boundaries come from the stops, not from the newlines the tokenizer deletes
s37	synthetic	531	653	9	644	MD-BULLET,CHUNK-LIST-NOPUNCT,SPLIT-NEWLINE	hand-authored	the realistic crash shape: a multi-line bullet list with no terminal punctuation on any line, fusing into one 644-char run because \n is deleted; the lead-in colon is deliberately not a boundary
s38	synthetic	85	106	4	102	MD-BULLET,LEN-UNDER,CHUNK-LIST-SAFE,SPLIT-NEWLINE	hand-authored	control for s37: identical shape, no terminal punctuation, but a 102-char fused run that is safely under budget
s39	synthetic	185	483	16	215	MD-UNDERSCORE,MD-BACKTICK,MD-FENCE,MD-FENCE-MULTI,ID-SNAKE,LEN-UNDER,SPLIT-NEWLINE	hand-authored	a TWELVE-line fenced block in a carrier paragraph, matching #8's own "twelve-line code block" example so the count wording has a plausible number to say; max_run 215, so the fused block does NOT reach the CHUNK-LIST-NOPUNCT threshold
s40	synthetic	160	294	7	171	MD-BACKTICK,MD-FENCE,MD-FENCE-MULTI,ID-SNAKE,LEN-UNDER,SPLIT-NEWLINE	hand-authored	control for s39: the same carrier shape with a THREE-line block, so "Code block, twelve lines" and "Code block, three lines" can be compared at two magnitudes against "Code block."
